0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
(Dollars in millions),,2020,2020,,,2019,2019,,,2018,2018,
Current provision:,,,,,,,,,,,,
Federal,,$,1616,,,$,979,,,$,8320,
State,,,19,,,,300,,,,264,
Foreign,,,1144,,,,1097,,,,1100,
Total current provision,,$,2779,,,$,2376,,,$,9684,
Deferred benefit:,,,,,,,,,,,,
Federal,,$,(983,),,$,483,,,$,(827,)
State,,,50,,,,(28,),,,(26,)
Foreign,,,82,,,,"(1,646",),,,6,
Total deferred benefit,,$,(851,),,$,"(1,191",),,$,(847,)
Total provision for income taxes,,$,1928,,,$,1185,,,$,8837,
Effective income tax rate,,16.0%,16.0%,,,9.7%,9.7%,,,71.1%,71.1%,
