0,1,2,3,4,5,6,7,8,9,10,11,12
Total margin for operating segments,,$,23914,,,$,23981,,,$,23857,
Cloud and license revenues(1),,,(4,),,,(20,),,,(47,)
Research and development,,,"(6,067",),,,"(6,026",),,,"(6,084",)
General and administrative,,,"(1,181",),,,"(1,265",),,,"(1,282",)
Amortization of intangible assets,,,"(1,586",),,,"(1,689",),,,"(1,620",)
Acquisition related and other,,,(56,),,,(44,),,,(52,)
Restructuring,,,(250,),,,(443,),,,(588,)
Stock-based compensation for operating segments,,,(436,),,,(518,),,,(505,)
"Expense allocations and other, net",,,(438,),,,(441,),,,(415,)
Interest expense,,,"(1,995",),,,"(2,082",),,,"(2,025",)
"Non-operating income, net",,,162,,,,815,,,,1185,
Income before provision for income taxes,,$,12063,,,$,12268,,,$,12424,
